strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/ROMAISS/7/2009		A	H3N2	2009		virus_only	8	0
A/ROMAISS/8/2009		A	H3N2	2009		virus_only	9	0
A/ROMAISS/9/2009		A	H3N2	2009		virus_only	9	0
A/ROMANIA/1/1998		A	H3N2	1998		virus_only	5	0
A/ROMANIA/106/1992		A	H3N2	1992		virus_only	7	0
A/ROMANIA/13/1995		A	H3N2	1995		virus_only	6	0
A/ROMANIA/130/1992		A	H3N2	1992		virus_only	7	0
A/ROMANIA/131/1992		A	H3N2	1992		virus_only	7	0
A/ROMANIA/132/1992		A	H3N2	1992		virus_only	7	0
A/ROMANIA/157360/2014		A	H3N2	2014		virus_only	9	0
A/ROMANIA/160/1994		A	H3N2	1994		virus_only	7	0
A/ROMANIA/163/1994		A	H3N2	1994		virus_only	2	0
A/ROMANIA/174/1994		A	H3N2	1994		virus_only	7	0
A/ROMANIA/178/1994		A	H3N2	1994		virus_only	7	0
A/ROMANIA/182/1994		A	H3N2	1994		virus_only	5	0
A/ROMANIA/190/1994		A	H3N2	1994		virus_only	6	0
A/ROMANIA/197/1994		A	H3N2	1994		virus_only	6	0
A/ROMANIA/2/1994		A	H3N2	1994		virus_only	7	0
A/ROMANIA/2/1998		A	H3N2	1998		virus_only	5	0
A/ROMANIA/200/1994		A	H3N2	1994		virus_only	7	0
A/ROMANIA/201/1994		A	H3N2	1994		virus_only	7	0
A/ROMANIA/204/1994		A	H3N2	1994		virus_only	7	0
A/ROMANIA/223/1994		A	H3N2	1994		virus_only	7	0
A/ROMANIA/226/1994		A	H3N2	1994		virus_only	6	0
A/ROMANIA/246/2005		A	H3N2	2005		virus_only	6	0
A/ROMANIA/26/1992		A	H3N2	1992		virus_only	7	0
A/ROMANIA/3/1995		A	H3N2	1995		virus_only	6	0
A/ROMANIA/3/1998		A	H3N2	1998		virus_only	5	0
A/ROMANIA/303/1994		A	H3N2	1994		virus_only	7	0
A/ROMANIA/304/1994		A	H3N2	1994		virus_only	6	0
A/ROMANIA/307/2005		A	H3N2	2005		virus_only	6	0
A/ROMANIA/345/2005		A	H3N2	2005		virus_only	6	0
A/ROMANIA/4/1995		A	H3N2	1995		virus_only	6	0
A/ROMANIA/4/1998		A	H3N2	1998		virus_only	5	0
A/ROMANIA/5/1997		A	H3N2	1997		virus_only	5	0
A/ROMANIA/5/1998		A	H3N2	1998		virus_only	5	0
A/ROMANIA/55656/2011		A	H3N2	2011		virus_only	8	0
A/ROMANIA/569/2005		A	H3N2	2005		virus_only	6	0
A/ROMANIA/6/1998		A	H3N2	1998		virus_only	5	0
A/ROMANIA/67/1992		A	H3N2	1992		virus_only	7	0
A/ROMANIA/68/1992		A	H3N2	1992		virus_only	7	0
A/ROMANIA/69/1992		A	H3N2	1992		virus_only	7	0
A/ROMANIA/7/1998		A	H3N2	1998		virus_only	5	0
A/ROMANIA/708/2005		A	H3N2	2005		virus_only	6	0
A/ROMANIA/751/2005		A	H3N2	2005		virus_only	6	0
A/ROMANIA/772/2005		A	H3N2	2005		virus_only	6	0
A/ROMANIA/780/2005		A	H3N2	2005		virus_only	6	0
A/ROMANIA/8/1997		A	H3N2	1997		virus_only	5	0
A/ROMANIA/810/2005		A	H3N2	2005		virus_only	6	0
A/ROMANIA/9/1995		A	H3N2	1995		virus_only	6	0
A/ROME/1/1999		A	H3N2	1999		virus_only	5	0
A/ROME/1/2004		A	H3N2	2004		virus_only	8	0
A/ROME/1/2005		A	H3N2	2005		virus_only	8	0
A/ROME/10/2005		A	H3N2	2005		virus_only	7	0
A/ROME/12/2000		A	H3N2	2000		virus_only	6	0
A/ROME/2/1999		A	H3N2	1999		virus_only	5	0
A/ROME/2/2004		A	H3N2	2004		virus_only	8	0
A/ROME/2/2005		A	H3N2	2005		virus_only	7	0
A/ROME/3/1998		A	H3N2	1998		virus_only	5	0
A/ROME/3/1999		A	H3N2	1999		virus_only	5	0
A/ROME/3/2003		A	H3N2	2003		virus_only	5	0
A/ROME/4/1999		A	H3N2	1999		virus_only	10	0
A/ROME/5/1999		A	H3N2	1999		virus_only	5	0
A/ROME/6/1999		A	H3N2	1999		virus_only	5	0
A/ROME/7/1999		A	H3N2	1999		virus_only	10	0
A/ROME/8/2005		A	H3N2	2005		virus_only	7	0
A/ROME/9/2005		A	H3N2	2005		virus_only	7	0
A/ROSTOVONDON/1/2006		A	H3N2	2006		virus_only	9	0
A/ROSTOVONDON/1/2012		A	H3N2	2012		virus_only	10	0
A/ROSTOVONDON/2/2006		A	H3N2	2006		virus_only	9	0
A/ROSTOVONDON/3/2006		A	H3N2	2006		virus_only	9	0
A/ROUEN/2273/2014		A	H3N2	2014		virus_only	10	0
A/ROUEN/2291/2014		A	H3N2	2014		virus_only	10	0
A/RYAZAN/10/2006		A	H3N2	2006		virus_only	8	0
A/RYAZAN/4/2006		A	H3N2	2006		virus_only	8	0
A/RZESZOW/2/2007		A	H3N2	2007		virus_only	10	0
A/RZESZOW/3/2007		A	H3N2	2007		virus_only	10	0
A/SAARLAND/1/2015		A	H3N2	2015		virus_only	10	0
A/SAARLAND/15/2019		A	H3N2	2019		virus_only	7	0
A/SAARLAND/2/2015		A	H3N2	2015		virus_only	11	0
A/SAARLAND/3/1997		A	H3N2	1997		virus_only	5	0
A/SAARLAND/4/1997		A	H3N2	1997		virus_only	5	0
A/SAARLAND/9/1999		A	H3N2	1999		virus_only	5	0
A/SABAC/1331/2014		A	H3N2	2014		virus_only	9	0
A/SABAC/1334/2014		A	H3N2	2014		virus_only	9	0
A/SABAC/1370/2012		A	H3N2	2012		virus_only	10	0
A/SABAC/1371/2012		A	H3N2	2012		virus_only	10	0
A/SABAC/1930/2012		A	H3N2	2012		virus_only	10	0
A/SABAC/516/2009		A	H3N2	2009		virus_only	11	0
A/SABAC/630/2014		A	H3N2	2014		virus_only	9	0
A/SACHSEN/1/2002		A	H3N2	2002		virus_only	7	0
A/SACHSEN/10/2000		A	H3N2	2000		virus_only	5	0
A/SACHSEN/107/2017		A	H3N2	2017		virus_only	5	0
A/SACHSEN/11/2000		A	H3N2	2000		virus_only	5	0
A/SACHSEN/111/2003		A	H3N2	2003		virus_only	7	0
A/SACHSEN/119/2002		A	H3N2	2002		virus_only	6	0
A/SACHSEN/123/2002		A	H3N2	2002		virus_only	6	0
A/SACHSEN/2/2002		A	H3N2	2002		virus_only	7	0
A/SACHSEN/2/2013		A	H3N2	2013		virus_only	11	0
A/SACHSEN/25/2005		A	H3N2	2005		virus_only	7	0
A/SACHSEN/287/2000		A	H3N2	2000		virus_only	6	0
A/SACHSEN/3/2002		A	H3N2	2002		virus_only	7	0
A/SACHSEN/330/2000		A	H3N2	2000		virus_only	6	0
A/SACHSEN/366/2003		A	H3N2	2003		virus_only	6	0
A/SACHSEN/38/2020		A	H3N2	2020		virus_only	10	0
A/SACHSEN/4/2017		A	H3N2	2017		virus_only	12	0
A/SACHSEN/434/2000		A	H3N2	2000		virus_only	6	0
A/SACHSEN/5/2020		A	H3N2	2020		virus_only	9	0
A/SACHSEN/7/1999		A	H3N2	1999		virus_only	6	0
A/SACHSEN/71/2017		A	H3N2	2017		virus_only	9	0
A/SACHSEN/74/2016		A	H3N2	2016		virus_only	12	0
A/SACHSEN/8/1999		A	H3N2	1999		virus_only	6	0
A/SACHSEN/8/2007		A	H3N2	2007		virus_only	10	0
A/SACHSEN/96/2003		A	H3N2	2003		virus_only	5	0
A/SACHSEN/97/2003		A	H3N2	2003		virus_only	5	0
A/SACHSEN/99/2017		A	H3N2	2017		virus_only	12	0
A/SACHSENANHALT/1/1997		A	H3N2	1997		virus_only	5	0
A/SACHSENANHALT/1/2007		A	H3N2	2007		virus_only	8	0
A/SACHSENANHALT/12/2003		A	H3N2	2003		virus_only	5	0
A/SACHSENANHALT/19/1999		A	H3N2	1999		virus_only	5	0
A/SACHSENANHALT/2/2000		A	H3N2	2000		virus_only	5	0
A/SACHSENANHALT/2/2003		A	H3N2	2003		virus_only	5	0
A/SACHSENANHALT/2/2017		A	H3N2	2017		virus_only	12	0
A/SACHSENANHALT/20/1999		A	H3N2	1999		virus_only	5	0
A/SACHSENANHALT/23/2003		A	H3N2	2003		virus_only	7	0
A/SACHSENANHALT/24/2003		A	H3N2	2003		virus_only	7	0
A/SACHSENANHALT/27/1999		A	H3N2	1999		virus_only	5	0
A/SACHSENANHALT/3/2000		A	H3N2	2000		virus_only	5	0
A/SACHSENANHALT/35/2003		A	H3N2	2003		virus_only	7	0
A/SACHSENANHALT/69/2003		A	H3N2	2003		virus_only	6	0
A/SACHSENANHALT/70/2003		A	H3N2	2003		virus_only	6	0
A/SACHSENANHALT/72/2003		A	H3N2	2003		virus_only	6	0
A/SACHSENANHALT/73/2003		A	H3N2	2003		virus_only	6	0
A/SACHSENANHALT/74/2003		A	H3N2	2003		virus_only	6	0
A/SACHSENANHALT/75/2003		A	H3N2	2003		virus_only	6	0
A/SACHSENANHALT/76/2003		A	H3N2	2003		virus_only	6	0
A/SAGA/122/1997		A	H3N2	1997		virus_only	6	0
A/SAHAM/6943/2019		A	H3N2	2019		virus_only	5	0
A/SAIDA/294/2020		A	H3N2	2020		virus_only	9	0
A/SAINTDENIS/226/2000		A	H3N2	2000		virus_only	6	0
A/SAINTETIENNE/1912/2018		A	H3N2	2018		virus_only	9	0
A/SAINTETIENNE/1998/2018		A	H3N2	2018		virus_only	8	0
A/SAINTETIENNE/2539/2020		A	H3N2	2020		virus_only	9	0
A/SAINTETIENNE/412/2002		A	H3N2	2002		virus_only	6	0
A/SAITAMA/92/2020		A	H3N2	2020		virus_only	12	0
A/SAKAI/20/2011		A	H3N2	2011		virus_only	12	0
A/SAKAI/72/2014		A	H3N2	2014		virus_only	9	0
A/SAKHA/3014V/2019		A	H3N2	2019		virus_only	8	0
A/SALALAH/5662/2019		A	H3N2	2019		virus_only	6	0
A/SALALAH/5980/2019		A	H3N2	2019		virus_only	5	0
A/SALALAH/6016/2019		A	H3N2	2019		virus_only	5	0
A/SALALAH/6611/2019		A	H3N2	2019		virus_only	5	0
A/SALALAH/6905/2019		A	H3N2	2019		virus_only	5	0
A/SALALAH/7183/2019		A	H3N2	2019		virus_only	5	0
A/SALAMANCA/1/2000		A	H3N2	2000		virus_only	6	0
A/SALAMANCA/10/2009		A	H3N2	2009		virus_only	17	0
A/SALAMANCA/15/1998		A	H3N2	1998		virus_only	5	0
A/SALAMANCA/15/2000		A	H3N2	2000		virus_only	6	0
A/SALAMANCA/17/1995		A	H3N2	1995		virus_only	6	0
A/SALAMANCA/18/1998		A	H3N2	1998		virus_only	5	0
A/SALAMANCA/2/2004		A	H3N2	2004		virus_only	7	0
A/SALAMANCA/25/1995		A	H3N2	1995		virus_only	6	0
A/SALAMANCA/26/2005		A	H3N2	2005		virus_only	6	0
A/SALAMANCA/27/2014		A	H3N2	2014		virus_only	18	0
A/SALAMANCA/3/1997		A	H3N2	1997		virus_only	5	0
A/SALAMANCA/30/1995		A	H3N2	1995		virus_only	6	0
A/SALAMANCA/31/1995		A	H3N2	1995		virus_only	6	0
A/SALAMANCA/33/2002		A	H3N2	2002		virus_only	6	0
A/SALAMANCA/34/2002		A	H3N2	2002		virus_only	6	0
A/SALAMANCA/38/1995		A	H3N2	1995		virus_only	6	0
A/SALAMANCA/4/1998		A	H3N2	1998		virus_only	5	0
A/SALAMANCA/4/2012		A	H3N2	2012		virus_only	8	0
A/SALAMANCA/43/2002		A	H3N2	2002		virus_only	6	0
A/SALAMANCA/44/2014		A	H3N2	2014		virus_only	18	0
A/SALAMANCA/48/1995		A	H3N2	1995		virus_only	6	0
A/SALAMANCA/5/1995		A	H3N2	1995		virus_only	5	0
A/SALAMANCA/50/2011		A	H3N2	2011		virus_only	8	0
A/SALAMANCA/55/2006		A	H3N2	2006		virus_only	8	0
A/SALAMANCA/57/1999		A	H3N2	1999		virus_only	6	0
A/SALAMANCA/6/1996		A	H3N2	1996		virus_only	5	0
A/SALAMANCA/7/1998		A	H3N2	1998		virus_only	5	0
A/SALAMANCA/8/2002		A	H3N2	2002		virus_only	8	0
A/SALAMANCA/9/2009		A	H3N2	2009		virus_only	8	0
A/SALAMANCA/92/2014		A	H3N2	2014		virus_only	18	0
A/SALAMANCA/RR593/2000		A	H3N2	2000		virus_only	6	0
A/SALAMANCA/RR682/2000		A	H3N2	2000		virus_only	6	0
A/SALLAMANCA/41/1995		A	H3N2	1995		virus_only	6	0
A/SALLAMANCA/42/1995		A	H3N2	1995		virus_only	6	0
A/SALMANCA/10/2007		A	H3N2	2007		virus_only	8	0
A/SALTA/1583/2014		A	H3N2	2014		virus_only	11	0
A/SALTO/471/2000		A	H3N2	2000		virus_only	6	0
A/SALTO/608/2000		A	H3N2	2000		virus_only	6	0
A/SALTO/613/2000		A	H3N2	2000		virus_only	6	0
A/SALTO/642/2000		A	H3N2	2000		virus_only	6	0
A/SALTO/658/2000		A	H3N2	2000		virus_only	6	0
A/SAMARA/1/1999		A	H3N2	1999		virus_only	9	0
A/SAMARA/120/2006		A	H3N2	2006		virus_only	8	0
A/SAMARA/123/2006		A	H3N2	2006		virus_only	8	0
A/SAMARA/222/1999		A	H3N2	1999		virus_only	9	0
A/SAMARA/234/1999		A	H3N2	1999		virus_only	9	0
A/SAMARA/30/2004		A	H3N2	2004		virus_only	6	0
A/SAMARA/64/2004		A	H3N2	2004		virus_only	14	0
A/SAMARA/7/1999		A	H3N2	1999		virus_only	9	0
A/SAMSUN/125/2014		A	H3N2	2014		virus_only	9	0
A/SAMSUN/17/2014		A	H3N2	2014		virus_only	9	0
A/SAMSUN/177/2014		A	H3N2	2014		virus_only	9	0
A/SAMSUN/310/2014		A	H3N2	2014		virus_only	18	0
A/SAMSUN/35/2014		A	H3N2	2014		virus_only	9	0
A/SAMSUN/357/2014		A	H3N2	2014		virus_only	19	0
A/SAMSUN/3860/2013		A	H3N2	2013		virus_only	9	0
A/SAMSUN/4151/2013		A	H3N2	2013		virus_only	9	0
A/SAMSUN/4191/2013		A	H3N2	2013		virus_only	9	0
A/SAMSUN/4192/2013		A	H3N2	2013		virus_only	9	0
A/SAMSUN/811/2018		A	H3N2	2018		virus_only	9	0
A/SAMSUN/851/2018		A	H3N2	2018		virus_only	9	0
A/SAMSUN/87/2014		A	H3N2	2014		virus_only	9	0
A/SANJOSE/1015/1999		A	H3N2	1999		virus_only	5	0
A/SANJOSE/1023/1999		A	H3N2	1999		virus_only	5	0
A/SANJOSE/1025/1999		A	H3N2	1999		virus_only	5	0
A/SANJOSE/1026/1999		A	H3N2	1999		virus_only	5	0
A/SANJOSE/1045/1999		A	H3N2	1999		virus_only	5	0
A/SANJOSE/1049/1999		A	H3N2	1999		virus_only	5	0
A/SANJOSE/1059/1999		A	H3N2	1999		virus_only	5	0
A/SANJOSE/1068/1999		A	H3N2	1999		virus_only	5	0
A/SANJOSE/776/2000		A	H3N2	2000		virus_only	7	0
A/SANJOSE/802/2000		A	H3N2	2000		virus_only	7	0
A/SANJOSE/816/2000		A	H3N2	2000		virus_only	7	0
A/SANJOSE/846/2000		A	H3N2	2000		virus_only	7	0
A/SANLIURFA/1763/2018		A	H3N2	2018		virus_only	9	0
A/SANSEBASTIAN/RR1066/2002		A	H3N2	2002		virus_only	6	0
A/SANSEBASTIAN/RR1736/2004		A	H3N2	2004		virus_only	17	0
A/SANSEBASTIAN/RR380/1998		A	H3N2	1998		virus_only	5	0
A/SANSEBASTIAN/RR381/1998		A	H3N2	1998		virus_only	5	0
A/SANSEBASTIAN/RR382/1998		A	H3N2	1998		virus_only	5	0
A/SANSEBASTIAN/RR383/1998		A	H3N2	1998		virus_only	5	0
A/SANSEBASTIAN/RR390/1998		A	H3N2	1998		virus_only	5	0
A/SANSEBASTIAN/RR391/1998		A	H3N2	1998		virus_only	5	0
A/SANSEBASTIAN/RR392/1998		A	H3N2	1998		virus_only	5	0
A/SANSEBASTIAN/RR567/1999		A	H3N2	1999		virus_only	6	0
A/SANSEBASTIAN/RR570/1999		A	H3N2	1999		virus_only	6	0
A/SANSEBASTIAN/RR571/1999		A	H3N2	1999		virus_only	6	0
A/SANSEBASTIAN/RR813/2001		A	H3N2	2001		virus_only	6	0
A/SANSEBASTIAN/RR932/2001		A	H3N2	2001		virus_only	8	0
A/SANSEBASTIAN/RR933/2001		A	H3N2	2001		virus_only	8	0
A/SANSEBASTIAN/RR936/2001		A	H3N2	2001		virus_only	8	0
A/SANSEBASTIAN/RR951/2002		A	H3N2	2002		virus_only	8	0
A/SANTACRUZ/694835/2014		A	H3N2	2014		virus_only	11	0
A/SANTAFE/1157/04/2011		A	H3N2	2011		virus_only	8	0
A/SANTAFE/1157/2004		A	H3N2	2004		virus_only	8	0
A/SANTAFE/1431/2011		A	H3N2	2011		virus_only	8	0
A/SANTAFE/466/1999@R100		A	H3N2			virus_only	7	0
A/SANTAFE/477958/2014		A	H3N2	2014		virus_only	11	0
A/SANTAFE/826/2014		A	H3N2	2014		virus_only	14	0
A/SANTAFE/85/04/2011		A	H3N2	2011		virus_only	8	0
A/SANTAFE/85/2004		A	H3N2	2004		virus_only	8	0
A/SANTAFE/9/1999@R43		A	H3N2			virus_only	7	0
A/SANTANDER/RR1769/2005		A	H3N2	2005		virus_only	17	0
A/SANTANDER/RR1771/2005		A	H3N2	2005		virus_only	17	0
A/SANTANDER/RR1812/2005		A	H3N2	2005		virus_only	17	0
A/SANTIAGO/6881/2007		A	H3N2	2007		virus_only	10	0
A/SAPPORO/116/2014		A	H3N2	2014		virus_only	9	0
A/SAPPORO/125/2012		A	H3N2	2012		virus_only	55	0
A/SAPPORO/303/1999		A	H3N2	1999		virus_only	6	0
A/SAPPORO/304/1992		A	H3N2	1992		virus_only	7	0
A/SAPPORO/304/1999		A	H3N2	1999		virus_only	6	0
A/SARABURI/1792/2004		A	H3N2	2004		virus_only	7	0
A/SARAJEVO/13/2013		A	H3N2	2013		virus_only	10	0
A/SARAJEVO/19/2013		A	H3N2	2013		virus_only	10	0
A/SARAJEVO/21/2012		A	H3N2	2012		virus_only	22	0
A/SARAJEVO/22/2013		A	H3N2	2013		virus_only	19	0
A/SARAJEVO/23/2013		A	H3N2	2013		virus_only	19	0
A/SARAJEVO/57/2012		A	H3N2	2012		virus_only	22	0
A/SARAJEVO/58/2013		A	H3N2	2013		virus_only	20	0
A/SARAJEVO/9/2013		A	H3N2	2013		virus_only	10	0
A/SASSARI/1/2014		A	H3N2	2014		virus_only	10	0
A/SASSARI/10/2014		A	H3N2	2014		virus_only	10	0
A/SASSARI/12/2014		A	H3N2	2014		virus_only	10	0
A/SASSARI/15/2014		A	H3N2	2014		virus_only	10	0
A/SASSARI/17/2014		A	H3N2	2014		virus_only	10	0
A/SASSARI/9/2015		A	H3N2	2015		virus_only	11	0
A/SASSARI/9/2017		A	H3N2	2017		virus_only	12	0
A/SASTIN/137/2014		A	H3N2	2014		virus_only	11	0
A/SAUDIARABIA/029845/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/033286/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/043132/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/044045/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/046506/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/1/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/10/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/102/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/103/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/107/2005		A	H3N2	2005		virus_only	29	0
A/SAUDIARABIA/11/2005		A	H3N2	2005		virus_only	8	0
A/SAUDIARABIA/110/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/112/2005		A	H3N2	2005		virus_only	29	0
A/SAUDIARABIA/115/2005		A	H3N2	2005		virus_only	29	0
A/SAUDIARABIA/12/1996		A	H3N2	1996		virus_only	11	0
A/SAUDIARABIA/12/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/13/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/13/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/133/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/136/2005		A	H3N2	2005		virus_only	29	0
A/SAUDIARABIA/139B/2005		A	H3N2	2005		virus_only	8	0
A/SAUDIARABIA/14/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/14/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/146/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/148/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/15/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/16/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/16/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/17/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/18/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/18/1999		A	H3N2	1999		virus_only	5	0
A/SAUDIARABIA/19/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/190/2005		A	H3N2	2005		virus_only	29	0
A/SAUDIARABIA/192838/2016		A	H3N2	2016		virus_only	12	0
A/SAUDIARABIA/192840/2016		A	H3N2	2016		virus_only	12	0
A/SAUDIARABIA/2/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/20/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/2032/1999		A	H3N2	1999		virus_only	6	0
A/SAUDIARABIA/21/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/21/1999		A	H3N2	1999		virus_only	5	0
A/SAUDIARABIA/22/1999		A	H3N2	1999		virus_only	5	0
A/SAUDIARABIA/23/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/24/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/25/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/252925/2017		A	H3N2	2017		virus_only	6	0
A/SAUDIARABIA/257/2005		A	H3N2	2005		virus_only	8	0
A/SAUDIARABIA/259/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/26/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/26/1999		A	H3N2	1999		virus_only	5	0
A/SAUDIARABIA/262/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/263/2005		A	H3N2	2005		virus_only	8	0
A/SAUDIARABIA/27/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/27/1999		A	H3N2	1999		virus_only	5	0
A/SAUDIARABIA/274/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/28/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/28/1999		A	H3N2	1999		virus_only	5	0
A/SAUDIARABIA/287259/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/29/1999		A	H3N2	1999		virus_only	5	0
A/SAUDIARABIA/291/2005		A	H3N2	2005		virus_only	8	0
A/SAUDIARABIA/3/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/30/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/30/1999		A	H3N2	1999		virus_only	5	0
A/SAUDIARABIA/304/2005		A	H3N2	2005		virus_only	28	0
A/SAUDIARABIA/307/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/330/2005		A	H3N2	2005		virus_only	27	0
A/SAUDIARABIA/334616/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/34/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/340/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/349/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/350/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/358/2005		A	H3N2	2005		virus_only	16	0
A/SAUDIARABIA/384/2005		A	H3N2	2005		virus_only	16	0
A/SAUDIARABIA/385/2005		A	H3N2	2005		virus_only	16	0
A/SAUDIARABIA/387/2005		A	H3N2	2005		virus_only	28	0
A/SAUDIARABIA/390582/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/399/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/4/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/418617/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/419918/1998		A	H3N2	1998		virus_only	5	0
A/SAUDIARABIA/431/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/441/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/4669/1999		A	H3N2	1999		virus_only	6	0
A/SAUDIARABIA/4779/1999		A	H3N2	1999		virus_only	6	0
A/SAUDIARABIA/479/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/4896/1999		A	H3N2	1999		virus_only	6	0
A/SAUDIARABIA/494/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/5/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/50/2005		A	H3N2	2005		virus_only	29	0
A/SAUDIARABIA/521/2005		A	H3N2	2005		virus_only	29	0
A/SAUDIARABIA/5257/1999		A	H3N2	1999		virus_only	6	0
A/SAUDIARABIA/554/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/563/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/569/2005		A	H3N2	2005		virus_only	29	0
A/SAUDIARABIA/59/2005		A	H3N2	2005		virus_only	8	0
A/SAUDIARABIA/5948/1999		A	H3N2	1999		virus_only	6	0
A/SAUDIARABIA/6/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/60/2005		A	H3N2	2005		virus_only	8	0
A/SAUDIARABIA/62/2005		A	H3N2	2005		virus_only	29	0
A/SAUDIARABIA/701/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/73/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/732/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/78572/2015		A	H3N2	2015		virus_only	10	0
A/SAUDIARABIA/78603/2015		A	H3N2	2015		virus_only	10	0
A/SAUDIARABIA/79/2005		A	H3N2	2005		virus_only	17	0
A/SAUDIARABIA/8/1996		A	H3N2	1996		virus_only	6	0
A/SAUDIARABIA/9/1996		A	H3N2	1996		virus_only	6	0
A/SC/1/2012		A	H3N2	2012		virus_only	10	0
A/SCHLESWIGHOLLSTEIN/7/2012		A	H3N2	2012		virus_only	11	0
A/SCHLESWIGHOLSTEIN/1/1998		A	H3N2	1998		virus_only	5	0
A/SCHLESWIGHOLSTEIN/10/1998#ORIGINAL		A	H3N2			virus_only	4	0
A/SCHLESWIGHOLSTEIN/19/2005		A	H3N2	2005		virus_only	7	0
A/SCHLESWIGHOLSTEIN/2/2020		A	H3N2	2020		virus_only	9	0
A/SCHLESWIGHOLSTEIN/3/1998		A	H3N2	1998		virus_only	5	0
A/SCHLESWIGHOLSTEIN/3/1999		A	H3N2	1999		virus_only	5	0
A/SCOTLAND/1/2012		A	H3N2	2012		virus_only	10	0
A/SCOTLAND/163/1999		A	H3N2	1999		virus_only	6	0
A/SCOTLAND/28/1995		A	H3N2	1995		virus_only	5	0
A/SCOTLAND/28/2009		A	H3N2	2009		virus_only	9	0
A/SCOTLAND/36/1996		A	H3N2	1996		virus_only	5	0
A/SCOTLAND/41/1996		A	H3N2	1996		virus_only	5	0
A/SCOTLAND/5/2009		A	H3N2	2009		virus_only	7	0
A/SCOTLAND/50/2003		A	H3N2	2003		virus_only	7	0
