strain	accession	type	subtype	year	database	wic_role	virus_measurement_count	reference_measurement_count
A/NORWAY/2178/2015#CLONE37		A	H3N2			virus_and_reference	13	12
A/NORWAY/2620/2018		A	H3N2	2018		virus_and_reference	10	10
A/NORWAY/2629/2015		A	H3N2	2015		virus_and_reference	20	17
A/NORWAY/3275/2018		A	H3N2	2018		virus_and_reference	17	35
A/NORWAY/3275/2018@NIB118		A	H3N2			virus_and_reference	8	6
A/NORWAY/3806/2016		A	H3N2	2016		virus_and_reference	17	10
A/NORWAY/4465/2016		A	H3N2	2016		virus_and_reference	23	36
A/NORWAY/466/2014		A	H3N2	2014		virus_and_reference	422	937
A/NORWAY/4849/2016		A	H3N2	2016		virus_and_reference	27	41
A/OHIO/2/2012		A	H3N2	2012		virus_and_reference	48	83
A/OMS/5389/1988		A	H3N2	1988		virus_and_reference	16	263
A/OSLO/1490/1993		A	H3N2	1993		virus_and_reference	27	26
A/OSLO/807/2004		A	H3N2	2004		virus_and_reference	187	677
A/PALAU/6759/2014		A	H3N2	2014		virus_and_reference	115	98
A/PALAU/6759/2014@NIB87		A	H3N2			virus_and_reference	48	40
A/PANAMA/2007/1999		A	H3N2	1999		virus_and_reference	1661	6157
A/PARIS/2554/2019		A	H3N2	2019		virus_and_reference	12	15
A/PARMA/1/2007		A	H3N2	2007		virus_and_reference	106	308
A/PCHALMERS/1/1973		A	H3N2	1973		virus_and_reference	21	6
A/PENNSYLVANIA/09/2015		A	H3N2	2015		virus_and_reference	12	21
A/PERTH/1/1992		A	H3N2	1992		virus_and_reference	18	24
A/PERTH/10/2010		A	H3N2	2010		virus_and_reference	229	757
A/PERTH/15/2009		A	H3N2	2009		virus_and_reference	26	84
A/PERTH/16/2009		A	H3N2	2009		virus_and_reference	2493	6437
A/PERTH/3/1994		A	H3N2	1994		virus_and_reference	14	20
A/PERUGIA/5/1999		A	H3N2	1999		virus_and_reference	287	1304
A/PHILIPPINES/2/1982		A	H3N2	1982		virus_and_reference	33	57
A/PHILIPPINES/2191/2009		A	H3N2	2009		virus_and_reference	11	47
A/PHILIPPINES/26/1999		A	H3N2	1999		virus_and_reference	155	718
A/PLZEN/17/2013		A	H3N2	2013		virus_and_reference	25	16
