query_strain	Isolate_Name	Isolate_Id	Collection_Date	Location	Host	metadata_file
A/VICTORIA/508/2001	A/Victoria/508/2001	EPI_ISL_5522585	2001-07-30	Oceania / Australia / Victoria / Chelsea Heights	Human	gisaid_meta_2010.xls
A/VICTORIA/509/1998	A/Victoria/509/1998	EPI_ISL_3492442	1998-05-26	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/509/2000	A/Victoria/509/2000	EPI_ISL_5054276	2000-07-02	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/511/2004	A/Victoria/511/2004	EPI_ISL_2402570	2004-01-01	Oceania / Australia	Human	gisaid_meta_2010.xls
A/VICTORIA/511/2004	A/VICTORIA/511/2004	EPI_ISL_65584	2004-09-28	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/511/2015	A/Victoria/511/2015	EPI_ISL_194550	2015-05-16	Oceania / Australia / Victoria / Endeavour Hills	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/511/2015	A/Victoria/511/2015	EPI_ISL_196612	2015-05-16	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/511/2015	A/Victoria/511/2015	EPI_ISL_200720	2015-05-16	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/511/2015	A/Victoria/511/2015	EPI_ISL_205158	2015-05-16	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/511/2015	A/Victoria/511/2015	EPI_ISL_205159	2015-05-16	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/511/2015	A/Victoria/511/2015	EPI_ISL_219039	2015-05-16	Oceania / Australia / Victoria / Endeavour Hills	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/511/2015	A/Victoria/511/2015	EPI_ISL_288056	2015-05-16	Oceania / Australia / Victoria	Human	gisaid_meta_2015-2016.xls
A/VICTORIA/512/1998	A/Victoria/512/1998	EPI_ISL_3492454	1998-05-28	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/512/2002	A/Victoria/512/2002	EPI_ISL_6314587	2002-06-27	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/513/2004	A/Victoria/513/2004	EPI_ISL_12044	2004-09-30	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/513/2004	A/Victoria/513/2004	EPI_ISL_21253	2004-09-30	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/513/2004	A/Victoria513/2004	EPI_ISL_6949661	2004-09-30	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/522/1999	A/Victoria/522/1999	EPI_ISL_3663425	1999-06-08	Oceania / Australia / Victoria / Clayton	Human	gisaid_meta_2010.xls
A/VICTORIA/525/1998	A/Victoria/525/1998	EPI_ISL_3492436	1998-06-04	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/528/2014	A/VICTORIA/528/2014	EPI_ISL_168944	2014-07-17	Oceania / Australia / Victoria / Narre Warren	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/528/2014	A/Victoria/528/2014	EPI_ISL_288194	2014-07-17	Oceania / Australia / Victoria	Human	gisaid_meta_2011-2014.xls
A/VICTORIA/536/1999	A/Victoria/536/1999	EPI_ISL_3663426	1999-07-02	Oceania / Australia / Victoria / Clayton	Human	gisaid_meta_2010.xls
A/VICTORIA/540/1998	A/Victoria/540/1998	EPI_ISL_3492441	1998-06-14	Oceania / Australia / Victoria / Clarinda	Human	gisaid_meta_2010.xls
A/VICTORIA/541/1998	A/Victoria/541/1998	EPI_ISL_3492443	1998-06-14	Oceania / Australia / Victoria / Clarinda	Human	gisaid_meta_2010.xls
A/VICTORIA/552/1999	A/Victoria/552/1999	EPI_ISL_3663431	1999-07-12	Oceania / Australia / Victoria / Clayton	Human	gisaid_meta_2010.xls
A/VICTORIA/554/1998	A/Victoria/554/1998	EPI_ISL_3492414	1998-06-17	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/563/2010	A/Victoria/563/2010	EPI_ISL_185832	2010-08-30	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/563/2010	A/Victoria/563/2010	EPI_ISL_83224	2010-08-30	Oceania / Australia / Victoria / Clayton	Human	gisaid_meta_2010.xls
A/VICTORIA/563/2010	A/Victoria/563/2010	EPI_ISL_83225	2010-08-30	Oceania / Australia / Victoria / Clayton	Human	gisaid_meta_2010.xls
A/VICTORIA/563/2010	A/VICTORIA/563/2010	EPI_ISL_83810	2010-08-30	Oceania / Australia / Victoria / Clayton	Human	gisaid_meta_2010.xls
A/VICTORIA/563/2010	A/Victoria/563/2010	EPI_ISL_84063	2010	Oceania / Australia	Human	gisaid_meta_2010.xls
A/VICTORIA/585/1998	A/Victoria/585/1998	EPI_ISL_3492438	1998-06-30	Oceania / Australia / Victoria	Human	gisaid_meta_2010.xls
A/VICTORIA/586/1999	A/Victoria/586/1999	EPI_ISL_3663441	1999-07-31	Oceania / Australia / Victoria / Bangholme	Human	gisaid_meta_2010.xls
A/VICTORIA/588/1999	A/Victoria/588/1999	EPI_ISL_3663442	1999-07-27	Oceania / Australia / Victoria / Coronet Bay	Human	gisaid_meta_2010.xls
A/VICTORIA/593/1999	A/Victoria/593/1999	EPI_ISL_3663444	1999-08-02	Oceania / Australia / Victoria / Lysterfield	Human	gisaid_meta_2010.xls
