query_strain	Isolate_Name	Isolate_Id	Collection_Date	Location	Host	metadata_file
A/MOLDOVA/7/2014	A/Moldova/7/2014	EPI_ISL_158852	2014-01-15	Europe / Moldova, Republic of	Human	gisaid_meta_2011-2014.xls
A/MOLDOVA/85116/2019	A/Moldova/851.16/2019	EPI_ISL_363097	2019-04-16	Europe / Moldova, Republic of	Human	gisaid_meta_2019.xls
A/MOLDOVA/85116/2019	A/Moldova/851.16/2019	EPI_ISL_367802	2019-04-16	Europe / Moldova, Republic of	Human	gisaid_meta_2019.xls
A/MOLDOVA/94/2012	A/Moldova/94/2012	EPI_ISL_201713	2012-03-14	Europe / Moldova, Republic of	Human	gisaid_meta_2011-2014.xls
A/MOLDOVA/99/2012	A/Moldova/99/2012	EPI_ISL_201709	2012-03-20	Europe / Moldova, Republic of	Human	gisaid_meta_2011-2014.xls
A/MONTENEGRO/110/2016	A/Montenegro/110/2016	EPI_ISL_248857	2016-12-15	Europe / Montenegro	Human	gisaid_meta_2015-2016.xls
A/MONTENEGRO/41/2016	A/Montenegro/41/2016	EPI_ISL_267742	2016-11-28	Europe / Montenegro	Human	gisaid_meta_2015-2016.xls
A/MONTENEGRO/78/2016	A/Montenegro/78/2016	EPI_ISL_267122	2016-12-12	Europe / Montenegro	Human	gisaid_meta_2015-2016.xls
A/MONTENEGRO/78/2016	A/Montenegro/78/2016	EPI_ISL_267123	2016-12-12	Europe / Montenegro	Human	gisaid_meta_2015-2016.xls
A/MORAMANGA/3423/2012	A/Moramanga/3423/2012	EPI_ISL_141677	2012-05-24	Africa / Madagascar	Human	gisaid_meta_2011-2014.xls
A/MORAMANGA/50/2015	A/Moramanga/50/2015	EPI_ISL_190922	2015-01-08	Africa / Madagascar	Human	gisaid_meta_2015-2016.xls
A/MOSCOW/100/2015	A/Moscow/100/2015	EPI_ISL_191781	2015-03-19	Europe / Russian Federation	Human	gisaid_meta_2015-2016.xls
A/MOSCOW/101/2015	A/Moscow/101/2015	EPI_ISL_191782	2015-03-18	Europe / Russian Federation	Human	gisaid_meta_2015-2016.xls
A/MOSCOW/103/2015	A/Moscow/103/2015	EPI_ISL_191783	2015-03-15	Europe / Russian Federation	Human	gisaid_meta_2015-2016.xls
A/MOSCOW/119/2020	A/Moscow/119/2020	EPI_ISL_527239	2020-03-25	Europe / Russian Federation	Human	gisaid_meta_2020-21.xls
A/MOSCOW/133/2015	A/Moscow/133/2015	EPI_ISL_191784	2015-04-09	Europe / Russian Federation	Human	gisaid_meta_2015-2016.xls
A/MOSCOW/137/2013	A/Moscow/137/2013	EPI_ISL_155904	2013-12-24	Europe / Russian Federation	Human	gisaid_meta_2011-2014.xls
A/MOSCOW/138/2013	A/Moscow/138/2013	EPI_ISL_155905	2013-12-27	Europe / Russian Federation	Human	gisaid_meta_2011-2014.xls
A/MOSCOW/140/2013	A/Moscow/140/2013	EPI_ISL_155906	2013-12-30	Europe / Russian Federation	Human	gisaid_meta_2011-2014.xls
A/MOSCOW/15/2019	A/Moscow/15/2019	EPI_ISL_401514	2019-11-25	Europe / Russian Federation / Moscow	Human	gisaid_meta_2019.xls
A/MOSCOW/15/2019	A/Moscow/15/2019	EPI_ISL_406319	2019-11-05	Europe / Russian Federation	Human	gisaid_meta_2019.xls
A/MOSCOW/179/2003	A/MOSCOW/179/2003	EPI_ISL_67222	2003-12-15	Europe / Russian Federation	Human	gisaid_meta_2010.xls
A/MOSCOW/28/2003	A/MOSCOW/28/2003	EPI_ISL_67223	2003-02-04	Europe / Russian Federation	Human	gisaid_meta_2010.xls
A/MOSCOW/7/2005	A/MOSCOW/7/2005	EPI_ISL_64712	2005-02-28	Europe / Russian Federation	Human	gisaid_meta_2010.xls
A/MOZAMBIQUE/IR424/2015	A/Mozambique/IR424/2015	EPI_ISL_201669	2015-01-26	Africa / Mozambique	Human	gisaid_meta_2015-2016.xls
A/MOZAMBIQUE/IR436/2015	A/Mozambique/IR436/2015	EPI_ISL_201670	2015-01-30	Africa / Mozambique	Human	gisaid_meta_2015-2016.xls
A/MOZAMBIQUE/IR451/2015	A/Mozambique/IR451/2015	EPI_ISL_201671	2015-02-09	Africa / Mozambique	Human	gisaid_meta_2015-2016.xls
A/MOZAMBIQUE/IR493/2015	A/Mozambique/IR493/2015	EPI_ISL_201675	2015-02-19	Africa / Mozambique	Human	gisaid_meta_2015-2016.xls
A/MOZAMBIQUE/IR803/2015	A/Mozambique/IR803/2015	EPI_ISL_201678	2015-05-06	Africa / Mozambique	Human	gisaid_meta_2015-2016.xls
A/MURES/157328/2014	A/Mures/157328/2014	EPI_ISL_154008	2014-01-07	Europe / Romania / Judetul Mures	Human	gisaid_meta_2011-2014.xls
A/MURES/157328/2014	A/Mures/157328/2014	EPI_ISL_154767	2014-01-07	Europe / Romania	Human	gisaid_meta_2011-2014.xls
A/MURES/163025/2014	A/Mures/163025/2014	EPI_ISL_164241	2014-03-26	Europe / Romania	Human	gisaid_meta_2011-2014.xls
A/NAGANOC/21/2016	A/NAGANO-C/21/2016	EPI_ISL_222748	2016-02-20	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/NAGANOC/21/2016	A/Nagano-C/21/2016	EPI_ISL_238611	2016	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/NAGANOC/21/2016	A/Nagano-C/21/2016	EPI_ISL_239439	2016	Asia / Japan	Human	gisaid_meta_2015-2016.xls
A/NANTES/1441/2017	A/Nantes/1441/2017	EPI_ISL_284658	2017-10-10	Europe / France / Pays_de_Loire	Human	gisaid_meta_2017.xls
A/NANTES/1441/2017	A/Nantes/1441/2017	EPI_ISL_292387	2017-10-10	Europe / France	Human	gisaid_meta_2017.xls
A/NAVARRA/1503/2013	A/Navarra/1503/2013	EPI_ISL_152895	2013-11-27	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/1503/2013	A/Navarra/1503/2013	EPI_ISL_153175	2013-11-27	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/1528/2013	A/Navarra/1528/2013	EPI_ISL_153176	2013-12-10	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/1528/2013	A/Navarra/1528/2013	EPI_ISL_153239	2013-12-10	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/1528/2013	A/Navarra/1528/2013	EPI_ISL_153708	2013-12-10	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/1528/2013	A/Navarra/1528/2013	EPI_ISL_155740	2013-12-10	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/1565/2013	A/Navarra/1565/2013	EPI_ISL_153243	2013-12-10	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/1565/2013	A/Navarra/1565/2013	EPI_ISL_155744	2013-12-10	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/1565/2013	A/Navarra/1565/2013	EPI_ISL_155907	2013-12-10	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/2147/2018	A/Navarra/2147/2018	EPI_ISL_312360	2018-03-06	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2018.xls
A/NAVARRA/2147/2018	A/Navarra/2147/2018	EPI_ISL_315991	2018-03-06	Europe / Spain	Human	gisaid_meta_2018.xls
A/NAVARRA/2148/2018	A/Navarra/2148/2018	EPI_ISL_312361	2018-03-05	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2018.xls
A/NAVARRA/2148/2018	A/Navarra/2148/2018	EPI_ISL_315992	2018-03-05	Europe / Spain	Human	gisaid_meta_2018.xls
A/NAVARRA/218/2014	A/Navarra/218/2014	EPI_ISL_155908	2014-01-09	Europe / Spain	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/218/2014	A/Navarra/218/2014	EPI_ISL_156084	2014-01-09	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2011-2014.xls
A/NAVARRA/508/2015	A/Navarra/508/2015	EPI_ISL_173139	2015-01-28	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2015-2016.xls
A/NAVARRA/508/2015	A/Navarra/508/2015	EPI_ISL_179366	2015-01-28	Europe / Spain	Human	gisaid_meta_2015-2016.xls
A/NAVARRA/616/2015	A/Navarra/616/2015	EPI_ISL_190664	2015-01-15	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2015-2016.xls
A/NAVARRA/618/2015	A/Navarra/618/2015	EPI_ISL_181587	2015-01-13	Europe / Spain	Human	gisaid_meta_2015-2016.xls
A/NAVARRA/642/2015	A/Navarra/642/2015	EPI_ISL_181588	2015-02-06	Europe / Spain	Human	gisaid_meta_2015-2016.xls
A/NAVARRA/745/2015	A/Navarra/745/2015	EPI_ISL_179367	2015-02-06	Europe / Spain	Human	gisaid_meta_2015-2016.xls
A/NAVARRA/745/2015	A/Navarra/745/2015	EPI_ISL_190322	2015-02-06	Europe / Spain / Foral Community of Navarre	Human	gisaid_meta_2015-2016.xls
A/NAVARRA/797/2015	A/Navarra/797/2015	EPI_ISL_179369	2015-02-13	Europe / Spain	Human	gisaid_meta_2015-2016.xls
A/NEPAL/NPWR05637/2021	A/Nepal/NPWR-05637/2021	EPI_ISL_2932452	2021-04-08	Asia / Nepal	Human	gisaid_meta_2020-21.xls
A/NEPAL/NPWR05637/2021	A/Nepal/NPWR-05637/2021	EPI_ISL_2932453	2021-04-08	Asia / Nepal	Human	gisaid_meta_2020-21.xls
A/NEPAL/NPWR05637/2021	A/Nepal/Npwr-05637/2021	EPI_ISL_4080569	2021-04-08	Asia / Nepal	Human	gisaid_meta_2020-21.xls
A/NETHERLANDS/1/2002	A/Netherlands/1/2002	EPI_ISL_110654	2002-01-07	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/1/2002	A/Netherlands/120/02	EPI_ISL_4244	2002	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/10002/2019	A/Netherlands/10002/2019	EPI_ISL_335584	2019-01-07	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10002/2019	A/Netherlands/10002/2019	EPI_ISL_342096	2019-01-07	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10006/2019	A/Netherlands/10006/2019	EPI_ISL_336268	2019-01-14	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10006/2019	A/Netherlands/10006/2019	EPI_ISL_342097	2019-01-14	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10028/2018	A/Netherlands/10028/2018	EPI_ISL_309304	2018-01-08	Europe / Netherlands	Human	gisaid_meta_2018.xls
A/NETHERLANDS/10037/2018	A/Netherlands/10037/2018	EPI_ISL_293133	2018-01-15	Europe / Netherlands	Human	gisaid_meta_2018.xls
A/NETHERLANDS/10037/2018	A/Netherlands/10037/2018	EPI_ISL_309306	2018-01-15	Europe / Netherlands	Human	gisaid_meta_2018.xls
A/NETHERLANDS/1018/2015	A/Netherlands/1018/2015	EPI_ISL_179457	2015-01-20	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/1018/2015	A/Netherlands/1018/2015	EPI_ISL_191786	2015-01-20	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/10260/2018	A/Netherlands/10260/2018	EPI_ISL_302358	2018-02-15	Europe / Netherlands	Human	gisaid_meta_2018.xls
A/NETHERLANDS/10260/2018	A/Netherlands/10260/2018	EPI_ISL_309310	2018-02-15	Europe / Netherlands	Human	gisaid_meta_2018.xls
A/NETHERLANDS/10260/2018	A/Netherlands/10260/2018	EPI_ISL_334099	2018-02-15	Europe / Netherlands	Human	gisaid_meta_2018.xls
A/NETHERLANDS/10260/2018	A/Netherlands/10260/2018	EPI_ISL_336557	2018-02-15	Europe / Netherlands	Human	gisaid_meta_2018.xls
A/NETHERLANDS/10260/2018	A/Netherlands/10260/2018	EPI_ISL_348116	2018-02-15	Europe / Netherlands	Human	gisaid_meta_2018.xls
A/NETHERLANDS/10267/2019	A/Netherlands/10267/2019	EPI_ISL_400290	2019-12-02	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10267/2019	A/Netherlands/10267/2019	EPI_ISL_416279	2019-12-02	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10268/2019	A/Netherlands/10268/2019	EPI_ISL_400586	2019-12-10	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10268/2019	A/Netherlands/10268/2019	EPI_ISL_416280	2019-12-10	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10273/2019	A/Netherlands/10273/2019	EPI_ISL_402103	2019-12-16	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10273/2019	A/Netherlands/10273/2019	EPI_ISL_416281	2019-12-16	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10279/2019	A/Netherlands/10279/2019	EPI_ISL_402105	2019-12-20	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/10279/2019	A/Netherlands/10279/2019	EPI_ISL_416282	2019-12-20	Europe / Netherlands	Human	gisaid_meta_2019.xls
A/NETHERLANDS/1034/2015	A/Netherlands/1034/2015	EPI_ISL_191787	2015-02-02	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/118/2001	A/Netherlands/118/2001	EPI_ISL_111376	2001-03-14	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/123/2005	A/NETHERLANDS/123/2005	EPI_ISL_18231	2005	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/124/2001	A/Netherlands/124/2001	EPI_ISL_115622	2001-03-20	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/126/2001	A/Netherlands/126/2001	EPI_ISL_115623	2001-03-21	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/126/2001	A/Netherlands/126/2001	EPI_ISL_2687	2001	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/132/2004	A/Netherlands/132/2004	EPI_ISL_398267	2004-12-14	Europe / Netherlands / Provincie Groningen	Human	gisaid_meta_2010.xls
A/NETHERLANDS/1497/2015	A/Netherlands/1497/2015	EPI_ISL_191788	2015-02-12	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/1726/2015	A/Netherlands/1726/2015	EPI_ISL_179484	2015-02-16	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/1726/2015	A/Netherlands/1726/2015	EPI_ISL_191789	2015-02-16	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/1903/2015	A/Netherlands/1903/2015	EPI_ISL_179486	2015-02-24	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/1903/2015	A/Netherlands/1903/2015	EPI_ISL_191790	2015-02-24	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/1916/2015	A/Netherlands/1916/2015	EPI_ISL_191792	2015-02-25	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/2/2012	A/Netherlands/2/2012	EPI_ISL_17668135	2012-12-31	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/20/2003	A/Netherlands/20/2003	EPI_ISL_110689	2003-02-18	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/217/2003	A/Netherlands/217/2003	EPI_ISL_110692	2003-04-20	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/22/2003	A/Netherlands/22/2003	EPI_ISL_110690	2003-02-23	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/222/2003	A/Netherlands/222/2003	EPI_ISL_113061	2003-04-14	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/2244/2013	A/Netherlands/2244/2013	EPI_ISL_153709	2013-10-19	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/2247/2013	A/Netherlands/2247/2013	EPI_ISL_153710	2013-10-23	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/2249/2013	A/Netherlands/2249/2013	EPI_ISL_153711	2013-12-05	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/2249/2013	A/Netherlands/2249/2013	EPI_ISL_17668132	2013-12-31	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/282/2009	A/Netherlands/282/2009	EPI_ISL_124896	2009-01-21	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/3/2000	A/Netherlands/3/2000	EPI_ISL_115621	2000-01-06	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/301/1999	A/Netherlands/301/1999	EPI_ISL_115773	1999-10-01	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/301/1999	A/Netherlands/301/1999	EPI_ISL_14284837	1999	Europe / Netherlands / South Holland / Gemeente Rotterdam	Human	gisaid_meta_2010.xls
A/NETHERLANDS/301/1999	A/Netherlands/301/1999	EPI_ISL_167268	1999	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/301/1999	A/Netherlands/301/1999	EPI_ISL_2402554	1999-01-01	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/301/1999	A/Netherlands/301/1999	EPI_ISL_84904	1999	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/312/2003	A/Netherlands/312/2003	EPI_ISL_113069	2003-09-25	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/3356/2016	A/Netherlands/3356/2016	EPI_ISL_240590	2016-11-24	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/3356/2016	A/Netherlands/3356/2016	EPI_ISL_253130	2016-11-24	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/34/2010	A/Netherlands/34/2010	EPI_ISL_186321	2010-12-23	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/34/2010	A/Netherlands/34/2010	EPI_ISL_88040	2010-12-23	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/3455/2016	A/Netherlands/3455/2016	EPI_ISL_241363	2016-12-10	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/348/2007	A/Netherlands/348/2007	EPI_ISL_115696	2007-11-06	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/363/2006	A/Netherlands/363/2006	EPI_ISL_115648	2006-12-24	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/368/2002	A/NETHERLANDS/368/2002	EPI_ISL_18218	2002-12-10	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/368/2002	A/NETHERLANDS/368/2002	EPI_ISL_186258	2002-12-10	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/3768/2016	A/Netherlands/3768/2016	EPI_ISL_241350	2016-12-20	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/3768/2016	A/Netherlands/3768/2016	EPI_ISL_253134	2016-12-20	Europe / Netherlands	Human	gisaid_meta_2015-2016.xls
A/NETHERLANDS/377/2008	A/Netherlands/377/2008	EPI_ISL_110724	2008-09-27	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/395/2014	A/Netherlands/395/2014	EPI_ISL_170310	2014-10-02	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/398/2014	A/Netherlands/398/2014	EPI_ISL_170311	2014-10-27	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/398/2014	A/Netherlands/398/2014	EPI_ISL_239747	2014-10-27	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/427/1998	A/Netherlands/427/1998	EPI_ISL_111373	1998-11-16	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/462/1998	A/Netherlands/462/1998	EPI_ISL_115620	1998-12-16	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/525/2014	A/Netherlands/525/2014	EPI_ISL_175051	2014-12-17	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/548/2005	A/Netherlands/548/2005	EPI_ISL_398266	2005-12-16	Europe / Netherlands / Rotterdam	Human	gisaid_meta_2010.xls
A/NETHERLANDS/702/2011	A/Netherlands/702/2011	EPI_ISL_103247	2011-12-02	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/710/2011	A/Netherlands/710/2011	EPI_ISL_104143	2011-12-06	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/713/2011	A/Netherlands/713/2011	EPI_ISL_104144	2011-12-29	Europe / Netherlands	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/761/2009	A/Netherlands/761/2009	EPI_ISL_110727	2009-06-25	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NETHERLANDS/773/2014	A/Netherlands/773/2014	EPI_ISL_179495	2014-08-10	North America / Aruba	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/778/2014	A/Netherlands/778/2014	EPI_ISL_179497	2014-11-25	North America / Aruba	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/779/2014	A/Netherlands/779/2014	EPI_ISL_179498	2014-12-02	North America / Aruba	Human	gisaid_meta_2011-2014.xls
A/NETHERLANDS/88/2003	A/Netherlands/88/2003	EPI_ISL_110691	2003-03-05	Europe / Netherlands	Human	gisaid_meta_2010.xls
A/NEUQUEN/13234/2014	A/Neuquen/13234/2014	EPI_ISL_166736	2014-07-04	South America / Argentina	Human	gisaid_meta_2011-2014.xls
A/NEW CALEDONIA/12/1998	A/New Caledonia/12/1998	EPI_ISL_6949625	1998-05-02	Oceania / New Caledonia	Human	gisaid_meta_2010.xls
A/NEW CALEDONIA/59/2019	A/New Caledonia/59/2019	EPI_ISL_363286	2019-04-02	Oceania / New Caledonia / South Province	Human	gisaid_meta_2019.xls
A/NEW CALEDONIA/59/2019	A/New Caledonia/59/2019	EPI_ISL_366046	2019-04-02	Oceania / New Caledonia / South	Human	gisaid_meta_2019.xls
A/NEW CALEDONIA/6/2002	A/New Caledonia/6/2002	EPI_ISL_6314532	2002-04-04	Oceania / New Caledonia	Human	gisaid_meta_2010.xls
A/NEW CALEDONIA/6/2002	A/New Caledonia/6/2002	EPI_ISL_67658	2002-04-04	Oceania / New Caledonia	Human	gisaid_meta_2010.xls
A/NEW CALEDONIA/7/2000	A/New Caledonia/7/2000	EPI_ISL_5054220	2000-07-11	Oceania / New Caledonia	Human	gisaid_meta_2010.xls
A/NEW CALEDONIA/7/2004	A/New Caledonia/7/2004	EPI_ISL_6949627	2004-05-07	Oceania / New Caledonia	Human	gisaid_meta_2010.xls
A/NEW CALEDONIA/71/2014	A/New Caledonia/71/2014	EPI_ISL_15146260	2014-08-13	Oceania / New Caledonia	Human	gisaid_meta_2011-2014.xls
A/NEW CALEDONIA/71/2014	A/New Caledonia/71/2014	EPI_ISL_15146402	2014-08-13	Oceania / New Caledonia	Human	gisaid_meta_2011-2014.xls
A/NEW CALEDONIA/71/2014	A/NEW CALEDONIA/71/2014	EPI_ISL_168901	2014-08-13	Oceania / New Caledonia	Human	gisaid_meta_2011-2014.xls
A/NEW CALEDONIA/71/2014	A/New Caledonia/71/2014	EPI_ISL_169519	2014-08-13	Oceania / New Caledonia	Human	gisaid_meta_2011-2014.xls
A/NEW CALEDONIA/71/2014	A/New Caledonia/71/2014	EPI_ISL_172232	2014-08-13	Oceania / New Caledonia	Human	gisaid_meta_2011-2014.xls
A/NEW CALEDONIA/71/2014	A/New Caledonia/71/2014	EPI_ISL_172396	2014-08-13	Oceania / Australia	Human	gisaid_meta_2011-2014.xls
A/NEW CALEDONIA/71/2014	A/NEW CALEDONIA/71/2014	EPI_ISL_173955	2014-08-13	Oceania / Australia	Human	gisaid_meta_2011-2014.xls
A/NEWCASTLE/25/2014	A/Newcastle/25/2014	EPI_ISL_15146262	2014-05-04	Oceania / Australia / New South Wales / Croudace Bay	Human	gisaid_meta_2011-2014.xls
A/NEWCASTLE/25/2014	A/NEWCASTLE/25/2014	EPI_ISL_164980	2014-05-04	Oceania / Australia / New South Wales / Belmont	Human	gisaid_meta_2011-2014.xls
A/NEWCASTLE/25/2014	A/Newcastle/25/2014	EPI_ISL_288201	2014-05-04	Oceania / Australia	Human	gisaid_meta_2011-2014.xls
A/NEWCASTLE/28/2014	A/NEWCASTLE/28/2014	EPI_ISL_164981	2014-06-28	Oceania / Australia / New South Wales / Islington	Human	gisaid_meta_2011-2014.xls
A/NEWCASTLE/30/2016	A/Newcastle/30/2016	EPI_ISL_227637	2016-03-29	Oceania / Australia / New South  Wales	Human	gisaid_meta_2015-2016.xls
A/NEWCASTLE/30/2016	A/Newcastle/30/2016	EPI_ISL_239348	2016-03-29	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/NEWCASTLE/30/2016	A/Newcastle/30/2016	EPI_ISL_239440	2016-03-29	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/NEWCASTLE/30/2016	A/Newcastle/30/2016	EPI_ISL_2454699	2016-03-29	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/NEWCASTLE/30/2016	A/Newcastle/30/2016	EPI_ISL_255495	2016-03-29	Oceania / Australia / New South Wales / Booragul	Human	gisaid_meta_2015-2016.xls
A/NEWCASTLE/30/2016	A/Newcastle/30/2016	EPI_ISL_289135	2016-03-29	Oceania / Australia	Human	gisaid_meta_2015-2016.xls
A/NEWCASTLE/82/2018	A/Newcastle/82/2018	EPI_ISL_335436	2018-12-23	Oceania / Australia / New South Wales / Kotara East	Human	gisaid_meta_2018.xls
A/NEWCASTLE/82/2018	A/Newcastle/82/2018	EPI_ISL_339348	2018-12-23	Oceania / Australia / New South Wales / Kotara East	Human	gisaid_meta_2018.xls
A/NEWCASTLE/82/2018	A/Newcastle/82/2018	EPI_ISL_391801	2018-12-23	Oceania / Australia / New South Wales	Human	gisaid_meta_2018.xls
A/NEWCASTLE/82/2018	A/Newcastle/82/2018	EPI_ISL_395031	2018-12-23	Oceania / Australia	Human	gisaid_meta_2018.xls
A/NEWCASTLE/82/2018	A/Newcastle/82/2018	EPI_ISL_395033	2018-12-23	Oceania / Australia	Human	gisaid_meta_2018.xls
A/NEWCASTLE/82/2018	A/Newcastle/82/2018	EPI_ISL_395587	2018-12-23	Oceania / Australia / New South Wales / Kotara East	Human	gisaid_meta_2018.xls
A/NEWCASTLE/82/2018	A/Newcastle/82/2018	EPI_ISL_398938	2018-12-23	Oceania / Australia	Human	gisaid_meta_2018.xls
A/NEWCASTLE/82/2018	A/Newcastle/82/2018	EPI_ISL_413290	2018-12-23	Oceania / Australia	Human	gisaid_meta_2018.xls
A/NICE/491/1997	A/Nice/491/1997	EPI_ISL_111339	1996-12-30	Europe / France	Human	gisaid_meta_2010.xls
A/NICE/938/2004	A/NICE/938/2004	EPI_ISL_187663	2004-12-06	Europe / France	Human	gisaid_meta_2010.xls
A/NICE/938/2004	A/NICE/938/2004	EPI_ISL_65559	2004-12-06	Europe / France	Human	gisaid_meta_2010.xls
